reference_actor_Q_std,total/epochs,train/loss_critic,rollout/Q_mean,reference_Q_mean,reference_action_std,reference_Q_std,success rate,rollout/goal_tolerance,total/episodes,reference_actor_Q_mean,total/steps_per_second,errors,total/steps,rollout/return_history,rollout/actions_mean,rollout/return,rollout/episode_steps,train/loss_actor,total/duration,rollout/actions_std,rollout/episodes,train/param_noise_distance,reference_action_mean,rollout/error
3.7600079,1,0.15841374,-3.201617,-1.5694876,0.8940358,3.7853646,1.0,0.01743,4078,-0.87279814,26.72665934469298,0.012169362402883778,68998,-8.78,0.022810217,-15.95046591466405,16.919323197645905,1.0409906,2581.6170704364777,0.76419365,4078,0.0,-0.039773095,0.05003
3.7735748,1,0.18503824,-3.206569,-1.6474063,0.89181155,3.791588,1.0,0.01739,4173,-0.93814045,26.70920301497807,0.012525914901986486,69998,-9.48,0.023274086,-15.800383417205847,16.769949676491734,1.0002565,2620.7446160316467,0.764682,4173,0.0,-0.060042184,0.07402
3.7777185,1,0.17103633,-3.214296,-1.6023655,0.8924049,3.8163204,1.0,0.01736,4265,-0.88651,26.695464263821254,0.012542114872829357,70998,-9.85,0.02298647,-15.67596717467761,16.646189917936695,0.9719458,2659.552922487259,0.76510483,4265,0.0,-0.10948038,0.10356
3.813961,1,0.16415568,-3.2224796,-1.5788496,0.8904729,3.8331187,1.0,0.01732,4347,-0.8678751,26.676203486499148,0.012252246846379832,71998,-10.5,0.022494458,-15.589832068092937,16.560616517138257,0.94884497,2698.959769010544,0.7655061,4347,0.0,-0.07517588,0.02543
3.819676,1,0.18059891,-3.2209575,-1.615201,0.89564663,3.8201344,1.0,0.01729,4451,-0.89485353,26.642653486760565,0.011895600003154958,72998,-8.65,0.022437977,-15.427544372051225,16.399011458099302,0.9823406,2739.8922572135925,0.7658912,4451,0.0,-0.011554368,0.06964
3.79574,1,0.16361688,-3.225648,-1.6114161,0.89820325,3.8014662,0.99,0.01725,4537,-0.90126586,26.613248011470944,0.012418662404835142,73998,-10.0,0.021462224,-15.3374476526339,16.30923517743002,0.9683973,2780.494886159897,0.76622134,4537,0.0,-0.029208353,0.04163
3.8225071,1,0.15565065,-3.2367837,-1.6238508,0.8926493,3.8256164,1.0,0.01722,4620,-0.89783937,26.588143635100835,0.01219387354747285,74998,-10.11,0.021367913,-15.253030303030304,16.225324675324675,0.9479855,2820.7309629917145,0.7665767,4620,0.0,-0.013695282,0.03421
3.7967477,1,0.15993927,-3.2401829,-1.5676172,0.8975547,3.8106167,0.99,0.01718,4703,-0.8506509,26.577182508248754,0.012854626851186275,75998,-11.46,0.022620246,-15.186901977461195,16.159472677014673,0.8760031,2859.520567178726,0.76680654,4703,0.0,-0.04096183,0.12836
3.796775,1,0.15129547,-3.2444074,-1.5482306,0.8901912,3.8153126,1.0,0.01715,4795,-0.83435017,26.566725261963377,0.012398412084836281,76998,-10.0,0.022470638,-15.085297184567258,16.05839416058394,0.92788565,2898.287208557129,0.7672202,4795,0.0,-0.068775065,0.01158
3.8021631,1,0.15642196,-3.2496214,-1.6291101,0.8971653,3.7938647,1.0,0.01712,4887,-0.9055461,26.537710734316665,0.011866705898232958,77998,-9.72,0.022172382,-14.982402291794557,15.956005729486392,0.94206125,2939.1382241249084,0.76761967,4887,0.0,-0.009875516,0.03464
